constant,lower_bound,upper_bound,primary_source,secondary_source
ramsey-8-13,,27485,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-8-14,,41525,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-8-15,873,,trivial,ejc-ds1-small-ramsey-numbers
ramsey-8-15,,63609,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-9-9,565,,mathon-1987,ejc-ds1-small-ramsey-numbers
ramsey-9-9,,6588,shi-zhang-2001,ejc-ds1-small-ramsey-numbers
ramsey-9-10,581,,xiaodong-s-r-2011,ejc-ds1-small-ramsey-numbers
ramsey-9-10,,12677,trivial,ejc-ds1-small-ramsey-numbers
ramsey-9-11,,22325,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-9-12,,38832,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-9-13,,64864,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-10-10,798,,mathon-1987,ejc-ds1-small-ramsey-numbers
ramsey-10-10,,23556,shi-2003,ejc-ds1-small-ramsey-numbers
ramsey-10-11,,45881,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-10-12,,81123,huang-w-s-y-z-h-2007,ejc-ds1-small-ramsey-numbers
ramsey-10-15,1313,,trivial,ejc-ds1-small-ramsey-numbers
ramsey-4-6,,40,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-7,,58,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-8,,79,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-9,,105,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-10,,135,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-11,,170,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-12,,210,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-13,,256,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-14,,307,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-4-15,,364,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-5,,46,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-6,,85,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-7,,133,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-8,,193,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
ramsey-5-9,,282,angeltveit-mckay-2019-2024,ejc-ds1-small-ramsey-numbers
